urlDrugName,highly_effective,benefitsReview
spironolactone,Not Effective,Overall reduction in the severity of breakouts.
wellbutrin,Effective,"Medication helped with depression, my irritable bowel syndrome, appetite control, and there were no sexual side effects"
chantix,Effective,Eliminated nicotine cravings and made smoking cessation very easy.
depo-provera,Effective,I did not get pregnant while on the depo shot... but then again my sex life was shot due to the constant bleeding.
metronidazole,Effective,"Personally, i found metronidazole to be an equivalent to a concentration drug, it severely improved my intelligence and my overall concentration, i realise now that this drug, as it may be depressing, a new chapter in my life.

during the medication i received, i was severely depressed, however it got me thinking deeply towards why i was indeed depressed, and thus, i came to a solution.

it completely destroyed the bacteria that was within my abscess and treated me within 3 days, and aided my mind alot.

Within my experience with metronidazole, i have only to thank it for my A* papers and my mental health.

With that i have only this to say:
Take it, it aids the physical problems you have, and if your like me at all, with greater ambitions than any human can dream,  This will make you realise all the problems you encounter, and it will cleanse you of your worries."
ambien,Effective,Is very helpful with insomnia.  Was able to put racing thoughts that run threw my mind at rest.  Was able to get into a deep sleep.
zoloft,Not Effective,"The drug did seem to make me feel more confident at the beginning, however towards the 10 11 months it didn't seem to work anymore."
depo-provera,Effective,"After the first two shots I had no more periods until after being off Depo Provera for nearly 3 months. Also I didn't get pregnant, which was the goal. Before getting on birth control I had been a very moody person, fighting often with people who were important to me and whom I really didn't want to fight. On the shot I still had mood swings but they were not nearly as strong."
doxycycline,Not Effective,So far so good. Will know more after six month mark when x-rays are taken to see if pockets are closing. One area that was highly inflamed before the deep cleaning appears to be healing well. No inflammation there and more pink as opposed to the red color it was before.
solodyn,Not Effective,"I started this medicine to help my acne, but after a couple of weeks there was no improvement at all.  In fact, my skin was worse. I've taken other antibiotics in the past and they were much more effective at clearing up my skin.  So I stopped taking the Solodyn."
suboxone,Effective,"Suboxone is beneficial for two reasons:

1) It eliminated the opiate withdrawal when I was kicking my original drug of choice.

2) As a maintenance drug, Suboxone eliminates the cravings that I would normally have for opioids, as well as blocks the effects of agonist opioids (Heroin, Oxycodone, etc.) so that there is no temptation to take these drugs.

Instead of struggling every day to avoid taking opioid drugs (and all of the terrible thing that come with being in active addiction) I can take Suboxone and move on with life. 

Suboxone may have quite literally saved my life."
effexor-xr,Not Effective,I could not see any benefits. I certainly did not feel any more emotionally balanced or stable than before.
zmax,Effective,"This treatment was easy to remember to take at only one time daily.  Although I didn't miss any dose times, if I had, the directions state to take the missed dose, unless it is almost time for the next dose time which would be the following day after the missed dose.  If the latter being so, then one should wait for the next dosage."
renova,Effective,good for skin
prinivil,Not Effective,"Apparently, this ace inhibitor has positive effects against retinal and renal pathologies associated with diabetes and other cardio-vascular diseases."
neurontin,Not Effective,ABSOLUTLEY NONE FOR ME.
vyvanse,Effective,"I needed to switch from straterra which made me very very depressed quiet and i slept for like an hour each night with that drug it was horrible. I switched to Vyvanse and the first time i took it, it was like an anti deppresant at first i was the normal happy hyper me but i could still focus very well on studying but when i started comming down from it that was the worst i was dry heaving with a TERRIBLE HEADACHE for an hour and then i would just throw everything up it made me very irritated i would twitch ALOT and my heart beat was fast and very heavy but after my second day my body started getting use to it and i havent had anymore problems with it."
